/-----------------------------------------
| State-action rewards from Q-Learning
\-----------------------------------------

('left', 'green', 'forward', 'left')
 -- None : 0.39
 -- forward : 0.30
 -- left : 1.35
 -- right : 0.29

('right', 'red', 'None', 'left')
 -- None : 1.83
 -- forward : -11.73
 -- left : -12.74
 -- right : 1.67

('right', 'green', 'forward', 'right')
 -- None : -1.16
 -- forward : 0.09
 -- left : -3.31
 -- right : 0.46

('right', 'red', 'None', 'None')
 -- None : 1.67
 -- forward : -12.49
 -- left : -14.06
 -- right : 1.74

('left', 'green', 'left', 'None')
 -- None : -4.27
 -- forward : 0.67
 -- left : 1.76
 -- right : 0.69

('left', 'red', 'right', 'left')
 -- None : 1.30
 -- forward : -4.92
 -- left : -3.99
 -- right : 0.30

('right', 'green', 'right', 'forward')
 -- None : -0.78
 -- forward : 0.14
 -- left : -3.15
 -- right : 0.56

('forward', 'green', 'left', 'None')
 -- None : -4.16
 -- forward : 1.86
 -- left : 0.64
 -- right : 0.66

('left', 'red', 'right', 'right')
 -- None : 0.46
 -- forward : -1.56
 -- left : -5.95
 -- right : 0.07

('left', 'green', 'right', 'right')
 -- None : -0.44
 -- forward : 0.07
 -- left : -1.90
 -- right : 0.14

('forward', 'red', 'right', 'right')
 -- None : 0.16
 -- forward : -0.96
 -- left : -3.49
 -- right : 0.21

('right', 'green', 'left', 'right')
 -- None : -0.71
 -- forward : 0.12
 -- left : -3.83
 -- right : 0.64

('forward', 'red', 'left', 'None')
 -- None : 1.82
 -- forward : -13.16
 -- left : -13.01
 -- right : 0.70

('left', 'red', 'None', 'None')
 -- None : 1.70
 -- forward : -13.11
 -- left : -13.14
 -- right : 0.69

('forward', 'green', 'None', 'None')
 -- None : -5.01
 -- forward : 1.78
 -- left : 0.67
 -- right : 0.74

('right', 'red', 'right', 'left')
 -- None : 1.09
 -- forward : -3.20
 -- left : -3.76
 -- right : 0.47

('right', 'green', 'None', 'None')
 -- None : -4.92
 -- forward : 0.66
 -- left : 0.68
 -- right : 1.78

('right', 'red', 'right', 'None')
 -- None : 0.99
 -- forward : -6.50
 -- left : -6.34
 -- right : 1.34

('right', 'green', 'None', 'forward')
 -- None : -3.72
 -- forward : 0.54
 -- left : -15.42
 -- right : 1.66

('right', 'red', 'left', 'forward')
 -- None : 0.64
 -- forward : -5.03
 -- left : -5.24
 -- right : 1.01

('forward', 'red', 'right', 'left')
 -- None : 1.38
 -- forward : -3.32
 -- left : -4.10
 -- right : 0.21

('right', 'red', 'right', 'forward')
 -- None : 0.28
 -- forward : -1.89
 -- left : -3.59
 -- right : 0.90

('left', 'green', 'left', 'left')
 -- None : 0.27
 -- forward : 0.37
 -- left : 1.33
 -- right : 0.35

('left', 'red', 'left', 'None')
 -- None : 1.70
 -- forward : -12.36
 -- left : -12.07
 -- right : 0.68

('forward', 'green', 'right', 'right')
 -- None : -0.57
 -- forward : 0.41
 -- left : -2.09
 -- right : 0.07

('forward', 'green', 'None', 'forward')
 -- None : -4.25
 -- forward : 1.81
 -- left : -17.38
 -- right : 0.64

('right', 'red', 'None', 'right')
 -- None : 0.91
 -- forward : -7.29
 -- left : -24.11
 -- right : 1.35

('left', 'green', 'forward', 'right')
 -- None : -0.95
 -- forward : 0.35
 -- left : -5.95
 -- right : 0.15

('left', 'green', 'None', 'None')
 -- None : -5.05
 -- forward : 0.76
 -- left : 1.72
 -- right : 0.72

('left', 'red', 'right', 'None')
 -- None : 1.55
 -- forward : -7.75
 -- left : -8.36
 -- right : 0.33

('right', 'green', 'left', 'None')
 -- None : -4.06
 -- forward : 0.58
 -- left : 0.57
 -- right : 1.73

('right', 'green', 'right', 'None')
 -- None : -2.06
 -- forward : 0.34
 -- left : 0.34
 -- right : 1.33

('forward', 'red', 'None', 'left')
 -- None : 1.82
 -- forward : -12.53
 -- left : -11.79
 -- right : 0.72

('right', 'red', 'None', 'forward')
 -- None : 1.63
 -- forward : -10.78
 -- left : -11.30
 -- right : 1.83

('left', 'green', 'right', 'left')
 -- None : 0.26
 -- forward : 0.18
 -- left : 0.95
 -- right : 0.20

('forward', 'green', 'right', 'forward')
 -- None : -0.83
 -- forward : 1.02
 -- left : -3.49
 -- right : 0.14

('left', 'red', 'None', 'right')
 -- None : 1.65
 -- forward : -9.77
 -- left : -24.67
 -- right : 0.69

('right', 'green', 'left', 'left')
 -- None : 0.27
 -- forward : 0.29
 -- left : 0.30
 -- right : 1.15

('forward', 'red', 'None', 'forward')
 -- None : 1.88
 -- forward : -11.92
 -- left : -10.99
 -- right : 0.65

('left', 'red', 'left', 'left')
 -- None : 1.34
 -- forward : -7.87
 -- left : -8.88
 -- right : 0.56

('right', 'red', 'left', 'right')
 -- None : 0.24
 -- forward : -3.53
 -- left : -6.63
 -- right : 0.46

('forward', 'red', 'forward', 'forward')
 -- None : 1.30
 -- forward : -10.96
 -- left : -13.75
 -- right : -8.27

('left', 'red', 'forward', 'right')
 -- None : 0.60
 -- forward : -7.93
 -- left : -6.33
 -- right : -5.07

('right', 'green', 'forward', 'left')
 -- None : 0.31
 -- forward : 0.49
 -- left : 0.26
 -- right : 1.14

('forward', 'red', 'forward', 'left')
 -- None : 1.54
 -- forward : -15.54
 -- left : -20.26
 -- right : -8.67

('left', 'green', 'right', 'None')
 -- None : -3.26
 -- forward : 0.39
 -- left : 1.49
 -- right : 0.43

('forward', 'green', 'forward', 'right')
 -- None : -0.97
 -- forward : 0.76
 -- left : -3.63
 -- right : 0.13

('left', 'green', 'None', 'forward')
 -- None : -4.46
 -- forward : 0.76
 -- left : -17.94
 -- right : 0.65

('forward', 'red', 'right', 'forward')
 -- None : 1.17
 -- forward : -3.98
 -- left : -3.82
 -- right : 0.17

('left', 'green', 'None', 'right')
 -- None : -2.68
 -- forward : 0.47
 -- left : -9.98
 -- right : 0.56

('forward', 'green', 'forward', 'forward')
 -- None : -1.75
 -- forward : 1.16
 -- left : -6.41
 -- right : 0.18

('forward', 'green', 'left', 'right')
 -- None : -1.21
 -- forward : 0.85
 -- left : -2.97
 -- right : 0.15

('right', 'green', 'forward', 'forward')
 -- None : -1.64
 -- forward : 0.16
 -- left : -3.80
 -- right : 0.83

('forward', 'red', 'forward', 'right')
 -- None : 0.75
 -- forward : -6.22
 -- left : -8.27
 -- right : -3.52

('forward', 'red', 'left', 'right')
 -- None : 0.73
 -- forward : -4.06
 -- left : -8.26
 -- right : 0.15

('left', 'red', 'None', 'forward')
 -- None : 1.74
 -- forward : -11.71
 -- left : -12.04
 -- right : 0.68

('forward', 'green', 'left', 'left')
 -- None : 0.25
 -- forward : 1.56
 -- left : 0.29
 -- right : 0.32

('right', 'green', 'right', 'left')
 -- None : 0.18
 -- forward : 0.17
 -- left : 0.19
 -- right : 0.88

('left', 'green', 'right', 'forward')
 -- None : -1.32
 -- forward : 0.36
 -- left : -4.58
 -- right : 0.21

('forward', 'red', 'left', 'forward')
 -- None : 1.46
 -- forward : -4.81
 -- left : -5.64
 -- right : 0.28

('left', 'green', 'None', 'left')
 -- None : 0.69
 -- forward : 0.67
 -- left : 1.74
 -- right : 0.70

('right', 'green', 'None', 'right')
 -- None : -2.58
 -- forward : 0.41
 -- left : -8.51
 -- right : 1.38

('forward', 'green', 'left', 'forward')
 -- None : -1.23
 -- forward : 1.09
 -- left : -6.35
 -- right : 0.14

('right', 'red', 'forward', 'forward')
 -- None : 0.90
 -- forward : -12.39
 -- left : -12.18
 -- right : -7.62

('right', 'red', 'forward', 'left')
 -- None : 1.34
 -- forward : -17.91
 -- left : -18.08
 -- right : -9.51

('right', 'red', 'forward', 'None')
 -- None : 1.70
 -- forward : -31.25
 -- left : -32.11
 -- right : -16.49

('forward', 'green', 'forward', 'left')
 -- None : 0.38
 -- forward : 1.41
 -- left : 0.38
 -- right : 0.42

('right', 'green', 'left', 'forward')
 -- None : -1.47
 -- forward : 0.17
 -- left : -5.19
 -- right : 0.80

('left', 'red', 'forward', 'left')
 -- None : 1.43
 -- forward : -18.54
 -- left : -18.95
 -- right : -9.43

('forward', 'red', 'left', 'left')
 -- None : 1.65
 -- forward : -6.98
 -- left : -4.97
 -- right : 0.30

('left', 'red', 'right', 'forward')
 -- None : 1.04
 -- forward : -3.50
 -- left : -3.21
 -- right : 0.20

('left', 'green', 'left', 'right')
 -- None : -0.93
 -- forward : 0.22
 -- left : -3.52
 -- right : 0.37

('right', 'red', 'left', 'left')
 -- None : 1.35
 -- forward : -5.69
 -- left : -5.21
 -- right : 0.86

('left', 'red', 'left', 'forward')
 -- None : 1.26
 -- forward : -6.05
 -- left : -6.89
 -- right : 0.29

('left', 'red', 'left', 'right')
 -- None : 0.83
 -- forward : -5.05
 -- left : -9.51
 -- right : 0.09

('left', 'red', 'forward', 'forward')
 -- None : 1.34
 -- forward : -10.13
 -- left : -14.58
 -- right : -6.62

('left', 'green', 'forward', 'None')
 -- None : -4.71
 -- forward : 0.65
 -- left : 1.78
 -- right : 0.71

('forward', 'red', 'None', 'right')
 -- None : 1.66
 -- forward : -10.18
 -- left : -25.83
 -- right : 0.48

('right', 'green', 'forward', 'None')
 -- None : -4.44
 -- forward : 0.64
 -- left : 0.61
 -- right : 1.72

('right', 'red', 'left', 'None')
 -- None : 1.27
 -- forward : -10.82
 -- left : -11.40
 -- right : 1.62

('right', 'green', 'right', 'right')
 -- None : -0.40
 -- forward : 0.02
 -- left : -1.74
 -- right : 0.18

('forward', 'green', 'forward', 'None')
 -- None : -4.48
 -- forward : 1.73
 -- left : 0.72
 -- right : 0.76

('forward', 'green', 'right', 'left')
 -- None : 0.20
 -- forward : 1.26
 -- left : 0.15
 -- right : 0.20

('forward', 'red', 'right', 'None')
 -- None : 1.65
 -- forward : -6.12
 -- left : -6.70
 -- right : 0.41

('right', 'red', 'forward', 'right')
 -- None : 0.72
 -- forward : -6.60
 -- left : -8.89
 -- right : -3.83

('left', 'green', 'forward', 'forward')
 -- None : -1.46
 -- forward : 0.58
 -- left : -7.05
 -- right : 0.29

('left', 'red', 'forward', 'None')
 -- None : 1.77
 -- forward : -33.40
 -- left : -33.24
 -- right : -17.07

('left', 'green', 'left', 'forward')
 -- None : -1.43
 -- forward : 0.24
 -- left : -6.28
 -- right : 0.47

('left', 'red', 'None', 'left')
 -- None : 1.82
 -- forward : -13.06
 -- left : -12.19
 -- right : 0.77

('forward', 'green', 'None', 'right')
 -- None : -2.80
 -- forward : 1.57
 -- left : -10.55
 -- right : 0.40

('right', 'red', 'right', 'right')
 -- None : 0.15
 -- forward : -1.79
 -- left : -3.45
 -- right : 0.43

('forward', 'red', 'forward', 'None')
 -- None : 1.77
 -- forward : -33.00
 -- left : -32.71
 -- right : -16.85

('forward', 'green', 'None', 'left')
 -- None : 0.73
 -- forward : 1.76
 -- left : 0.71
 -- right : 0.67

('forward', 'green', 'right', 'None')
 -- None : -2.86
